ADDRESS,PRED_BASE,PRED_NEW
0xffcd7dc5075277a1b0042d83f4476cccf4f92f82,0,1
0x796a5f1055d5f7f2a3437995a076571d4315fa72,1,0
0x2b627f34c8595baef5ae91c33e71bc0c66b6a25e,1,0
0x9a85b3e129e57e8cd36079f88b4cdcd9ffb0e795,1,0
0xffcee9c09b04c6bad8e5d1eb83ef2d26b0868e23,0,1
